"site","habitat","sex","depth_m","length_cm","mass_g","gonadosomatic_index","algae_cover","fish_density"
"North Reef","Rubble","Male",13.6,28.9,2101.8,2.67,65.7,16.8
"North Reef","Coral Reef","Male",13.4,25.4,1349.1,2.18,31.6,16.4
"North Reef","Coral Reef","Male",17.3,24.7,1208.4,3.59,17,13.1
"North Reef","Coral Reef","Female",5.5,31.5,2625.6,2.47,24.4,21.2
"North Reef","Rubble","Male",14.2,25.6,1411.8,3.12,60.6,15.3
"North Reef","Coral Reef","Female",9.2,30.6,2492.8,2.3,5.8,13.5
"North Reef","Coral Reef","Female",10.9,NA,NA,NA,21.2,18.7
"North Reef","Rubble","Female",10.5,20.4,720.5,1.68,52.7,19.9
"North Reef","Seagrass","Female",12,25.5,1342.9,2.46,57.4,15.4
"North Reef","Coral Reef","Male",15.8,31.2,2466.6,4.89,16.9,16.2
"North Reef","Coral Reef","Male",14,29,2110.1,2.54,13.2,14.1
"North Reef","Rubble","Female",15,23.5,1139.4,2.69,44.4,8.3
"North Reef","Seagrass","Female",14.6,26.9,1650.9,1.98,54,26.3
"North Reef","Seagrass","Female",11.4,27.9,1903.6,2.64,45.1,17
"North Reef","Coral Reef","Female",15.8,30.2,2311.9,2.79,36.6,19.5
"North Reef","Coral Reef","Male",6,23.4,1114.1,2.04,33.1,21.3
"North Reef","Rubble","Female",9.7,21.1,808,2.26,55.7,20.3
"North Reef","Seagrass","Male",9.8,27.6,1717.9,4.02,42.4,17.5
"North Reef","Seagrass","Female",6.3,26,1556.2,1.52,60.1,16.6
"North Reef","Seagrass","Male",7.5,29.9,2217.9,3.33,41.6,16.3
"North Reef","Coral Reef","Female",15.3,33.1,3283.3,3.35,25.6,11.2
"North Reef","Seagrass","Female",10.7,22.6,994.9,1.58,58,20
"North Reef","Coral Reef","Female",7,27.7,1728.5,2.14,18.8,15.1
"North Reef","Rubble","Male",14.2,23.1,1119.7,2.17,62.5,25.7
"North Reef","Coral Reef","Female",12.7,30.4,2267.8,1.56,8.9,16.6
"North Reef","Rubble","Female",10,25.1,1278,3.41,64.6,23.7
"North Reef","Seagrass","Female",9.1,33.7,3179.8,2.54,46,15.2
"North Reef","Seagrass","Male",9.4,24.7,1443.3,2.78,48.2,20.2
"North Reef","Coral Reef","Female",11.2,29.3,2179.6,2.71,25.9,16.8
"North Reef","Coral Reef","Male",15.3,25.1,1394.3,2.16,23.5,22.5
"North Reef","Rubble","Female",15.1,31.7,2907.3,3.16,66.3,12.2
"North Reef","Seagrass","Female",16.3,22.4,985.4,2.35,43.6,15
"North Reef","Seagrass","Female",10.6,24.8,1295,1.5,62.4,23.5
"North Reef","Coral Reef","Male",15,30.3,2303.7,3.1,4.8,23.3
"North Reef","Coral Reef","Female",9.8,36.3,4091.3,3.36,12.6,18.2
"North Reef","Seagrass","Male",9.5,28.7,2109.9,2.57,45.5,26.2
"North Reef","Rubble","Female",7.2,20.8,665,1.48,66.8,13.6
"North Reef","Coral Reef","Male",11.4,28.5,1921.1,2.29,31.3,12.8
"North Reef","Rubble","Male",NA,18.8,664.1,2.22,69.9,15.7
"North Reef","Seagrass","Male",15.2,29,2035.3,3.65,62.5,11.8
"North Reef","Rubble","Female",17.9,25.2,1345.4,1.88,52.6,11.3
"North Reef","Seagrass","Male",16.8,26.1,1382.4,2,49.1,18.9
"North Reef","Seagrass","Female",9.4,28,1957.7,3.04,58.1,9.6
"North Reef","Coral Reef","Female",11.4,29.9,2232.8,3.47,19.7,21.4
"North Reef","Seagrass","Female",9.6,26.4,1394,2.53,55.2,14.6
"North Reef","Coral Reef","Female",11.9,30,2129,3.37,28,13.9
"North Reef","Coral Reef","Male",13.3,36.7,4088.4,3.14,22,16.3
"North Reef","Rubble","Female",11.9,NA,NA,NA,45.6,20.7
"North Reef","Rubble","Male",11.1,26,1591.7,1.51,62.1,22.2
"North Reef","Rubble","Male",11.7,30,2198.6,2.34,53.9,21
"North Reef","Seagrass","Male",11.7,26,1485.3,2.74,60.4,21.4
"North Reef","Seagrass","Female",12.9,28.5,1804.8,1.96,54.6,22.5
"North Reef","Seagrass","Female",9.6,32.9,3091.1,3.56,60.8,26.9
"North Reef","Coral Reef","Female",13.2,35.4,3821.5,3.08,23.1,19.3
"North Reef","Seagrass","Female",10.7,23.6,1333.2,1.75,49.3,19
"North Reef","Coral Reef","Female",9.1,35.5,3792.3,2.61,25.3,16.1
"North Reef","Coral Reef","Male",NA,35.6,3909.7,4.05,37,9.1
"North Reef","Rubble","Female",14.4,23.3,1113.7,1.56,74.9,18.4
"North Reef","Coral Reef","Female",10.3,29,1969.5,2.95,24.2,20.4
"North Reef","Seagrass","Male",8.5,25,1157.1,3.14,43.9,20.4
"South Reef","Rubble","Female",NA,29.1,1975.3,3.12,63.8,18.8
"South Reef","Coral Reef","Female",18,26.3,1638.3,2.51,24.6,31.4
"South Reef","Seagrass","Female",21.7,23.2,1137.5,1.9,61.1,23.7
"South Reef","Seagrass","Male",14.2,29.6,2292.7,3.12,60.2,22.2
"South Reef","Rubble","Female",23.4,25.6,1464.6,1.42,66.8,33.9
"South Reef","Seagrass","Female",16,22.7,960.7,1.98,56.6,33.3
"South Reef","Seagrass","Male",17,28.4,2017.2,4.47,30.6,29.2
"South Reef","Coral Reef","Male",23.2,27.9,1800.5,2.93,10.2,38.7
"South Reef","Coral Reef","Male",20.6,36.3,3980,3.5,34.6,27
"South Reef","Rubble","Female",11.8,25.1,1267.1,3.04,56,27.6
"South Reef","Coral Reef","Female",20.8,39.9,5463.9,3.45,6.8,25
"South Reef","Coral Reef","Male",19.1,22.8,1050.8,1.99,14,17.8
"South Reef","Coral Reef","Male",21.3,32.3,2913,2.88,9.9,34.1
"South Reef","Rubble","Male",19.8,29,2094.7,3.11,60.8,25.5
"South Reef","Rubble","Male",23.3,31.7,2767.1,1.79,48.4,24.7
"South Reef","Seagrass","Male",19.7,26.2,1480.3,3.13,46.9,28.3
"South Reef","Rubble","Male",21.7,23.3,1179.7,2.48,71.5,21.5
"South Reef","Coral Reef","Male",21.4,35.3,3982.8,4.62,29.6,29.7
"South Reef","Seagrass","Male",12.8,25.5,1262.7,2.7,48.4,17.8
"South Reef","Coral Reef","Male",19.8,27.7,1784.1,3.39,10.9,29.6
"South Reef","Coral Reef","Female",18,24.3,1164.6,2.48,44.3,24.1
"South Reef","Rubble","Female",13,22.8,751,2.2,52.5,30
"South Reef","Seagrass","Male",12.7,18.7,729.1,2.15,43.3,28
"South Reef","Coral Reef","Female",14.4,31.7,2729.5,2.13,4.2,21.7
"South Reef","Coral Reef","Male",24.3,29.8,2254.7,2.83,18.7,32.5
"South Reef","Rubble","Female",21.3,18.7,597.6,1.43,54.9,19.9
"South Reef","Rubble","Female",16,18.9,511.3,1.37,63.2,27.3
"South Reef","Coral Reef","Male",18,26.4,1590,3.12,25.6,31.8
"South Reef","Seagrass","Female",17.3,27,1593.4,1.84,49.3,21.5
"South Reef","Seagrass","Female",17.4,21,855.8,1.12,56.1,38.2
"South Reef","Rubble","Male",22.8,NA,NA,NA,68.9,19.3
"South Reef","Rubble","Male",24.3,28.4,2086.5,3.05,67.4,24.4
"South Reef","Coral Reef","Female",19.3,27,1642.4,1.87,12.5,22.1
"South Reef","Coral Reef","Female",14.4,33.8,3302.5,3.07,19.6,24
"South Reef","Rubble","Male",15.5,28,2042.6,3.67,58.2,24.8
"South Reef","Coral Reef","Female",14.7,33.7,3190.6,2.75,3.7,32.5
"South Reef","Seagrass","Female",17.9,22.7,988.4,1.8,69.8,23.2
"South Reef","Rubble","Male",13,20,707.3,2.29,72.1,15.7
"South Reef","Rubble","Female",22.4,30.3,2389.3,2.11,63.1,29.9
"South Reef","Coral Reef","Female",23.5,35.9,3871.2,3.23,20.7,19.1
"South Reef","Rubble","Female",17,28.3,1798.7,3.29,73,29.7
"South Reef","Seagrass","Female",12.6,22.7,796.6,1.71,35.8,27.7
"South Reef","Coral Reef","Female",14.8,29.9,2259.2,2.59,9.1,33.7
"South Reef","Seagrass","Male",16,31.2,2620.1,3.86,41.5,19
"South Reef","Seagrass","Male",21.2,29.1,1997.1,2.61,47.8,31.1
"South Reef","Coral Reef","Male",16.2,34.4,3445.9,3.35,26.3,22.8
"South Reef","Coral Reef","Male",19.4,30.7,2557.9,3.49,24.9,30.8
"South Reef","Seagrass","Female",17,26.2,1559.5,1.78,63,25.1
"South Reef","Coral Reef","Male",18,28.3,1963.3,2.33,11.4,30.9
"South Reef","Seagrass","Female",22.2,30.1,2404.6,3.46,44.3,24.7
"South Reef","Seagrass","Female",19.7,26.8,1596.5,1.66,44.2,32.4
"South Reef","Seagrass","Male",20.7,32.6,2909.6,4.05,32,20
"South Reef","Coral Reef","Female",19,30.3,2265.6,3.53,29.3,27
"South Reef","Rubble","Male",19.2,26.4,1485.3,3.6,73.7,29.6
"South Reef","Seagrass","Male",21.4,22.1,953.1,2.73,55.7,30.3
"South Reef","Coral Reef","Female",17.5,36.2,4029.1,2.73,22.1,23.7
"South Reef","Rubble","Male",14.3,19.8,801.4,2.12,50,23.2
"South Reef","Coral Reef","Female",13.1,28.5,1996,2.01,26.7,22.4
"South Reef","Coral Reef","Female",16.4,33.2,3135.6,2.88,31.6,25
