"","individual","age","date","locality","eggs","body_mass_grams","straight_carapace_length_mm"
"1",289,30,2024-05-22,"Beach",4,1184,177
"2",89,30,2023-05-22,"Konjsko",11,2913,249
"3",89,30,2024-05-17,"Konjsko",10,2880,248
"4",455,30,2023-05-22,"Konjsko",7,1823,203
"5",30,30,2024-05-17,"Konjsko",6,2047,212
"6",357,30,2024-05-17,"Konjsko",6,1994,218
"7",477,30,2023-05-22,"Konjsko",6,1494,204
"8",587,30,2022-05-22,"Konjsko",6,2434,225
"9",743,30,2023-05-22,"Konjsko",6,1841,208
"10",1121,30,2023-05-22,"Konjsko",6,1712,196
"11",79,30,2023-05-22,"Konjsko",5,1635,205
"12",858,30,2023-05-22,"Konjsko",5,1479,192
"13",1078,30,2022-05-23,"Konjsko",5,1459,188
"14",445,30,2024-05-17,"Konjsko",4,1443,186
"15",89,30,2025-05-20,"Konjsko",11,2920,260
"16",514,30,2025-05-17,"Konjsko",6,2093,226
"17",837,30,2025-05-17,"Konjsko",6,2017,223
"18",939,30,2025-05-17,"Konjsko",5,1519,206
"19",904,30,2025-05-20,"Konjsko",4,1618,199
"20",129,30,2025-05-22,"Plateau",4,1333,188
"21",129,30,2024-05-21,"Plateau",2,1373,188
"22",829,24,2024-05-17,"Konjsko",7,1971,212
"23",263,24,2025-05-22,"Plateau",4,1188,176
"24",1068,24,2025-05-22,"Plateau",3,1161,176
"25",1348,23,2025-05-23,"Beach",1,733,149
"26",1136,23,2025-05-20,"Konjsko",6,2660,240
"27",1069,22,2025-05-23,"Beach",3,997,166
"28",444,22,2023-05-22,"Konjsko",6,1518,195
"29",658,22,2024-05-17,"Konjsko",6,1391,186
"30",713,22,2024-05-20,"Plateau",5,1579,212
"31",1170,22,2025-05-22,"Plateau",5,1116,176
"32",582,22,2024-05-20,"Plateau",3,1300,189
"33",753,21,2025-05-23,"Beach",3,851,155
"34",1348,21,2023-05-20,"Beach",2,727,148
"35",1364,21,2024-05-22,"Beach",2,737,155
"36",397,21,2024-05-17,"Konjsko",6,1515,192
"37",1570,21,2024-05-21,"Plateau",5,1639,200
"38",1363,20,2023-05-20,"Beach",3,541,142
"39",166,20,2023-05-22,"Konjsko",6,1848,208
"40",834,20,2024-05-17,"Konjsko",5,1578,196
"41",640,20,2022-05-23,"Konjsko",5,1361,192
"42",1021,20,2022-05-23,"Konjsko",5,1689,194
"43",828,20,2022-05-23,"Konjsko",4,1265,184
"44",1096,19,2023-05-19,"Beach",3,957,156
"45",322,19,2025-05-20,"Konjsko",5,1618,199
"46",1096,18,2022-05-20,"Beach",3,959,157
"47",1218,18,2025-05-22,"Beach",3,973,164
"48",1222,17,2025-05-23,"Beach",3,807,158
"49",130,17,2023-05-22,"Konjsko",6,1702,196
"50",708,17,2023-05-18,"Plateau",3,898,156
"51",1218,16,2023-05-20,"Beach",2,930,159
"52",1222,16,2024-05-22,"Beach",1,804,155
"53",957,15,2024-05-17,"Konjsko",5,1543,187
